SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LB1
106,MODEL1,PARMS,LB1,0.778512121,1.928109114,0.434377706,-0.864429669,1.399965822,-1
107,MODEL1,PARMS,LB1,0.722698145,2.216258162,0.314530202,-0.343856041,0.495446817,-1
108,MODEL1,PARMS,LB1,0.752028126,1.907278646,0.415398582,-1.011939528,1.878940821,-1
109,MODEL1,PARMS,LB1,0.778820194,3.365884314,0.003563466,1.147232465,-2.073724203,-1
110,MODEL1,PARMS,LB1,0.783389904,2.966128385,0.128095227,0.303747324,-0.512127059,-1
111,MODEL1,PARMS,LB1,0.709164729,2.947677432,0.098636307,0.916802316,-1.732916003,-1
112,MODEL1,PARMS,LB1,0.755557146,2.856941507,0.129033706,0.861664416,-1.697235929,-1
113,MODEL1,PARMS,LB1,0.726110112,2.222498272,0.341258431,-0.4108063,0.589493686,-1
114,MODEL1,PARMS,LB1,0.737991644,3.258030428,0.034858362,0.824446576,-1.399894445,-1
115,MODEL1,PARMS,LB1,0.757839246,2.227592739,0.312307892,-0.320969727,0.603747693,-1
116,MODEL1,PARMS,LB1,0.754393492,2.501258103,0.215739453,0.577575193,-1.245563148,-1
117,MODEL1,PARMS,LB1,0.750709179,2.042313318,0.396040829,-0.75872016,1.370616322,-1
118,MODEL1,PARMS,LB1,0.754079158,3.462089173,-0.019990661,1.112587027,-1.987628394,-1
119,MODEL1,PARMS,LB1,0.80514429,1.906187082,0.412745663,-0.817468946,1.490987642,-1
120,MODEL1,PARMS,LB1,0.730868587,2.297431367,0.29050049,0.275445922,-0.781470282,-1
121,MODEL1,PARMS,LB1,0.707136657,1.982938163,0.363694896,-0.055491698,-0.25658592,-1
122,MODEL1,PARMS,LB1,0.731867466,3.133304631,0.043482395,1.479830419,-2.847093865,-1
123,MODEL1,PARMS,LB1,0.774085344,2.380199425,0.276812395,-0.167051897,0.207636803,-1
124,MODEL1,PARMS,LB1,0.715964295,2.918105641,0.078837181,1.063936016,-1.880877926,-1
125,MODEL1,PARMS,LB1,0.743236448,2.501753106,0.254142738,-0.144254748,0.279447,-1
126,MODEL1,PARMS,LB1,0.715273637,2.191049062,0.327509004,-0.128902878,-0.015997926,-1
127,MODEL1,PARMS,LB1,0.750631101,2.385817638,0.286220679,0.068555695,-0.265307058,-1
128,MODEL1,PARMS,LB1,0.754755805,2.723927168,0.189707086,0.276154723,-0.549159297,-1
129,MODEL1,PARMS,LB1,0.73417612,1.762372011,0.463356363,-1.063977589,1.753648458,-1
130,MODEL1,PARMS,LB1,0.736772725,2.985854,0.112439645,0.385842076,-0.572717015,-1
131,MODEL1,PARMS,LB1,0.699723798,2.713105941,0.219761724,-0.196997229,0.375317984,-1
132,MODEL1,PARMS,LB1,0.753962048,3.201149158,0.063746473,0.65345127,-1.264889771,-1
133,MODEL1,PARMS,LB1,0.706921235,1.873769243,0.390178319,0.010332844,-0.434124327,-1
134,MODEL1,PARMS,LB1,0.732584296,2.751172368,0.163976672,0.600441602,-1.163304304,-1
135,MODEL1,PARMS,LB1,0.736117199,2.417269313,0.276098052,-0.276866601,0.515437868,-1
136,MODEL1,PARMS,LB1,0.716280235,2.729134114,0.182657285,0.280559092,-0.466416975,-1
137,MODEL1,PARMS,LB1,0.752140818,2.890802615,0.135544419,0.559789994,-1.054700913,-1
138,MODEL1,PARMS,LB1,0.735221708,2.762746886,0.161631037,0.503598239,-0.996915305,-1
139,MODEL1,PARMS,LB1,0.740498622,2.99807374,0.083147682,0.898996974,-1.724795917,-1
140,MODEL1,PARMS,LB1,0.740614199,2.473986371,0.287344324,-0.296554477,0.411186636,-1
141,MODEL1,PARMS,LB1,0.810710578,2.749951523,0.215384585,-0.171555744,0.362425269,-1
142,MODEL1,PARMS,LB1,0.745623456,2.331113381,0.28922475,-0.147219258,0.297043007,-1
143,MODEL1,PARMS,LB1,0.693414323,2.567118846,0.211938174,0.152327856,-0.128570997,-1
144,MODEL1,PARMS,LB1,0.798890753,2.523781762,0.247591388,0.26346807,-0.666722818,-1
145,MODEL1,PARMS,LB1,0.766979375,2.575843931,0.265616107,-0.437982689,0.719409335,-1
146,MODEL1,PARMS,LB1,0.724956867,2.261826715,0.315436154,0.045601171,-0.348354469,-1
147,MODEL1,PARMS,LB1,0.748275027,2.252116642,0.329884581,-0.23403513,0.238826603,-1
148,MODEL1,PARMS,LB1,0.756607112,3.064118398,0.089108698,0.864949704,-1.663345924,-1
149,MODEL1,PARMS,LB1,0.73903991,1.90692965,0.40418682,-0.652561444,1.053436184,-1
150,MODEL1,PARMS,LB1,0.770851206,2.386796909,0.263402965,-0.010587822,0.000622216,-1
151,MODEL1,PARMS,LB1,0.723308797,3.16221453,0.032368544,1.134555343,-2.057837628,-1
152,MODEL1,PARMS,LB1,0.722733991,1.858105248,0.418067323,-0.368074659,0.397789954,-1
153,MODEL1,PARMS,LB1,0.742753612,2.717507334,0.17008051,0.275871216,-0.409324603,-1
154,MODEL1,PARMS,LB1,0.74003765,2.603372443,0.210864819,0.059252952,-0.126364421,-1
155,MODEL1,PARMS,LB1,0.771276364,1.859833312,0.404843958,-0.323649257,0.389133064,-1
156,MODEL1,PARMS,LB1,0.753589464,2.338388684,0.274180699,0.392880679,-0.96080666,-1
157,MODEL1,PARMS,LB1,0.685619326,2.121255018,0.364622283,-0.596720853,1.016427955,-1
158,MODEL1,PARMS,LB1,0.726552323,2.437630563,0.253854141,0.390098731,-0.973844261,-1
159,MODEL1,PARMS,LB1,0.70162896,2.830709586,0.131407978,0.699443503,-1.482424456,-1
160,MODEL1,PARMS,LB1,0.73954432,2.125870767,0.338273115,0.011456064,-0.30335598,-1
161,MODEL1,PARMS,LB1,0.743710686,2.456159718,0.23349047,0.085017386,-0.266383204,-1
162,MODEL1,PARMS,LB1,0.737573689,2.002506631,0.408223822,-0.735100834,1.16143896,-1
163,MODEL1,PARMS,LB1,0.751455259,2.310683207,0.3104435,-0.35183033,0.615765306,-1
164,MODEL1,PARMS,LB1,0.787238116,2.500983297,0.239098326,0.359474755,-0.986515934,-1
165,MODEL1,PARMS,LB1,0.772031548,2.214961819,0.315130173,0.14998793,-0.64938852,-1
166,MODEL1,PARMS,LB1,0.759185061,2.327515411,0.275313054,-0.08538752,0.182955822,-1
167,MODEL1,PARMS,LB1,0.745468747,2.84963279,0.124510323,1.073944126,-2.171612681,-1
168,MODEL1,PARMS,LB1,0.722687376,1.878706798,0.418211191,-0.684022472,1.064546426,-1
169,MODEL1,PARMS,LB1,0.668813834,2.439897847,0.246494184,0.250085179,-0.657186312,-1
170,MODEL1,PARMS,LB1,0.748367448,3.078789684,0.08319622,0.333989528,-0.405688786,-1
171,MODEL1,PARMS,LB1,0.779040809,2.675216212,0.218039217,-0.037486312,0.054666146,-1
172,MODEL1,PARMS,LB1,0.721172486,2.378392427,0.265188965,-0.042538504,0.031990674,-1
