SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB4
1,MODEL1,PARMS,RB4,0.737712349,2.521331059,0.346770326,-0.840798186,1.350408691,-1
2,MODEL1,PARMS,RB4,0.73753153,2.706914932,0.273788287,-0.627310912,1.035319361,-1
3,MODEL1,PARMS,RB4,0.685507417,2.363945754,0.370966514,-0.821870691,1.26289085,-1
4,MODEL1,PARMS,RB4,0.764018894,2.515358962,0.330344301,-0.797734527,1.379188487,-1
5,MODEL1,PARMS,RB4,0.692487867,2.98592868,0.185235143,0.076236951,-0.253644771,-1
6,MODEL1,PARMS,RB4,0.682850027,3.178229665,0.13270682,-0.167624435,0.426290992,-1
7,MODEL1,PARMS,RB4,0.797636378,2.200106934,0.383234948,-0.705370692,1.179103049,-1
8,MODEL1,PARMS,RB4,0.759218009,2.619161732,0.286802889,-0.097325921,-0.17196837,-1
9,MODEL1,PARMS,RB4,0.705875261,3.518654412,0.050728645,0.467039295,-0.842606584,-1
10,MODEL1,PARMS,RB4,0.747104811,2.203582402,0.451653222,-1.77375595,3.228163594,-1
11,MODEL1,PARMS,RB4,0.68130501,3.123091942,0.152288418,-0.088504783,0.071889909,-1
12,MODEL1,PARMS,RB4,0.704570858,2.267971258,0.39376939,-1.008754955,1.704377931,-1
13,MODEL1,PARMS,RB4,0.801135841,2.705619092,0.257669376,-0.083960196,-0.081378191,-1
14,MODEL1,PARMS,RB4,0.723578196,3.301032366,0.04313861,0.935572884,-1.696028343,-1
15,MODEL1,PARMS,RB4,0.699910081,3.211413674,0.128449748,0.177176438,-0.360983828,-1
16,MODEL1,PARMS,RB4,0.705894841,2.434287203,0.340263381,-0.918516175,1.699247663,-1
17,MODEL1,PARMS,RB4,0.741634302,3.039715453,0.187682147,-0.271344272,0.477193779,-1
18,MODEL1,PARMS,RB4,0.704643843,2.83666645,0.231549587,-0.458158609,0.808062778,-1
19,MODEL1,PARMS,RB4,0.728918661,3.109250664,0.126909776,0.240218198,-0.341195629,-1
20,MODEL1,PARMS,RB4,0.744497493,2.818827686,0.226564061,-0.173020329,0.235425606,-1
21,MODEL1,PARMS,RB4,0.949799343,2.748942853,0.243734903,0.29532674,-0.795457917,-1
22,MODEL1,PARMS,RB4,0.731581402,2.89983155,0.211415186,0.0274929,-0.152926087,-1
23,MODEL1,PARMS,RB4,0.7097059,2.705670582,0.262311841,-0.394468553,0.573127801,-1
24,MODEL1,PARMS,RB4,0.73319631,1.541305745,0.591100495,-1.584950201,2.547629228,-1
25,MODEL1,PARMS,RB4,0.727008463,2.417726959,0.352995594,-0.714357816,1.10129905,-1
26,MODEL1,PARMS,RB4,0.713703102,2.366004526,0.355572672,-0.750796675,1.246895693,-1
27,MODEL1,PARMS,RB4,0.734395495,2.599411913,0.301186514,-0.575725407,0.936319897,-1
28,MODEL1,PARMS,RB4,0.711345115,2.608850566,0.294934441,-0.460842528,0.721803245,-1
29,MODEL1,PARMS,RB4,0.734355451,2.537267657,0.305654993,-0.529882712,0.831858582,-1
30,MODEL1,PARMS,RB4,0.746567205,2.957078827,0.228201165,-0.403168481,0.658935177,-1
31,MODEL1,PARMS,RB4,0.726485978,2.384628741,0.317260949,-0.160885516,0.086089129,-1
32,MODEL1,PARMS,RB4,0.785187117,1.977777462,0.454140897,-0.549896313,0.571605284,-1
33,MODEL1,PARMS,RB4,0.722145189,2.626911082,0.294717762,-0.633092325,1.117404984,-1
34,MODEL1,PARMS,RB4,0.718211614,2.828877427,0.227416714,-0.210709796,0.278565313,-1
35,MODEL1,PARMS,RB4,0.716383142,3.549140665,0.016745129,0.593840042,-1.032105609,-1
36,MODEL1,PARMS,RB4,0.742199367,2.543347999,0.32627229,-0.819704707,1.373393704,-1
37,MODEL1,PARMS,RB4,0.724542696,3.344493474,0.076614714,0.460830668,-0.85275749,-1
38,MODEL1,PARMS,RB4,0.77114447,2.827884094,0.274935332,-0.727401348,1.252281862,-1
39,MODEL1,PARMS,RB4,0.674911082,3.215331953,0.121602613,0.148727672,-0.285634483,-1
40,MODEL1,PARMS,RB4,0.722387601,2.804156387,0.2322375,-0.48584699,0.933824073,-1
41,MODEL1,PARMS,RB4,0.70664421,2.577013093,0.299813202,-0.557985098,0.884420519,-1
42,MODEL1,PARMS,RB4,0.752025884,3.426226928,0.017924221,1.094774103,-2.073335461,-1
43,MODEL1,PARMS,RB4,0.748016107,3.159667338,0.135058496,0.419711542,-0.835893219,-1
44,MODEL1,PARMS,RB4,0.725096191,3.105708789,0.114321631,0.242857906,-0.518809423,-1
45,MODEL1,PARMS,RB4,0.662072667,2.955655159,0.206021438,-0.504891924,1.009428228,-1
46,MODEL1,PARMS,RB4,0.72607111,2.791052106,0.222621542,-0.032493476,-0.077440059,-1
47,MODEL1,PARMS,RB4,0.712205961,2.850118912,0.234463233,-0.352689845,0.490227004,-1
48,MODEL1,PARMS,RB4,0.720008561,3.04144825,0.177406923,-0.287674808,0.566570309,-1
49,MODEL1,PARMS,RB4,0.713193221,2.069359333,0.443729082,-1.240591702,2.165793337,-1
50,MODEL1,PARMS,RB4,0.668998303,2.211644419,0.415387665,-1.284315586,2.24364407,-1
51,MODEL1,PARMS,RB4,0.71994635,2.907563339,0.1948425,0.045140591,-0.246330589,-1
52,MODEL1,PARMS,RB4,0.681304356,2.162461374,0.412754041,-0.950641405,1.472120381,-1
53,MODEL1,PARMS,RB4,0.7573439,2.104198341,0.429623019,-0.857437097,1.275354289,-1
54,MODEL1,PARMS,RB4,0.746009589,1.608522502,0.584370846,-1.976365921,3.467186415,-1
55,MODEL1,PARMS,RB4,0.795820123,2.630450118,0.281118974,-0.294839624,0.308485118,-1
