SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sRB4
1,MODEL1,PARMS,sRB4,0.613431364,1.878621757,0.246526073,-0.245952811,0.195019042,-1
2,MODEL1,PARMS,sRB4,0.549122662,1.948894229,0.223006454,-0.581328075,1.033785009,-1
3,MODEL1,PARMS,sRB4,0.57018606,1.875917631,0.23354224,-0.231098286,0.191739633,-1
4,MODEL1,PARMS,sRB4,0.735283594,1.575043587,0.331613694,-0.679096061,1.019325099,-1
5,MODEL1,PARMS,sRB4,0.509856805,1.867711719,0.25217376,-0.549962919,0.876086382,-1
6,MODEL1,PARMS,sRB4,0.550666301,2.267615923,0.138049887,-0.384209592,0.770612608,-1
7,MODEL1,PARMS,sRB4,0.574157857,1.920096166,0.210779554,-0.062303827,0.019597886,-1
8,MODEL1,PARMS,sRB4,0.580920936,1.650905157,0.304788229,-0.500658878,0.65420308,-1
9,MODEL1,PARMS,sRB4,0.616929545,2.038553814,0.203325816,-0.315868142,0.507011433,-1
10,MODEL1,PARMS,sRB4,0.572567941,1.406426283,0.399017074,-1.467780659,2.638154149,-1
11,MODEL1,PARMS,sRB4,0.494754244,1.762655147,0.263948458,-0.538057901,0.816457866,-1
12,MODEL1,PARMS,sRB4,0.547206844,2.066898763,0.185938216,-0.315335544,0.597938938,-1
13,MODEL1,PARMS,sRB4,0.586890261,2.057650859,0.189975822,0.003827713,-0.240952612,-1
14,MODEL1,PARMS,sRB4,0.549823398,2.01131983,0.179011709,-0.000706287,-0.105102161,-1
15,MODEL1,PARMS,sRB4,0.503485631,2.151498634,0.162281627,-0.270583795,0.557272957,-1
16,MODEL1,PARMS,sRB4,0.500695617,1.928583555,0.230417387,-0.575643651,1.054945453,-1
17,MODEL1,PARMS,sRB4,0.498151944,2.027422214,0.207508034,-0.501442104,0.882354789,-1
18,MODEL1,PARMS,sRB4,0.736904804,2.083903279,0.193939622,-0.211892397,0.236973649,-1
19,MODEL1,PARMS,sRB4,0.628905925,2.414957829,0.085637711,0.149128054,-0.21054202,-1
20,MODEL1,PARMS,sRB4,0.547795886,1.828983683,0.253361046,-0.636872082,1.154574895,-1
21,MODEL1,PARMS,sRB4,0.682296711,1.706904156,0.300610223,-0.546699105,0.785495663,-1
