SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
255,MODEL1,PARMS,RLL,0.937491833,4.880761415,0.314455736,-0.291416463,0.534837621,-1
256,MODEL1,PARMS,RLL,0.970744947,4.050988693,0.524733418,-0.548198822,0.616008464,-1
257,MODEL1,PARMS,RLL,0.932501975,4.370527879,0.460547829,-1.190828587,2.128721347,-1
258,MODEL1,PARMS,RLL,0.942020282,4.316238495,0.499814036,-0.980530773,1.547992407,-1
259,MODEL1,PARMS,RLL,0.878277754,5.152581135,0.209388268,0.586291718,-1.279038921,-1
260,MODEL1,PARMS,RLL,0.919460436,4.24581481,0.486406921,-1.016870087,1.791205467,-1
261,MODEL1,PARMS,RLL,0.977906488,3.759509534,0.658341836,-1.765360512,2.9652323,-1
262,MODEL1,PARMS,RLL,1.033532529,4.638842249,0.364234437,0.00399179,-0.348971126,-1
263,MODEL1,PARMS,RLL,0.96334266,3.83240236,0.592428738,-1.009392153,1.380779236,-1
264,MODEL1,PARMS,RLL,0.960799961,5.1101337,0.294296307,-0.323728204,0.543893737,-1
265,MODEL1,PARMS,RLL,0.967481416,2.987119973,0.824703186,-1.820677038,2.913100337,-1
266,MODEL1,PARMS,RLL,0.939269281,4.617516475,0.422158823,-1.099350752,1.95150611,-1
267,MODEL1,PARMS,RLL,0.9317886,4.655445676,0.36765209,0.063307402,-0.408789861,-1
268,MODEL1,PARMS,RLL,0.958673348,4.708403465,0.382810622,-0.761222946,1.288604278,-1
269,MODEL1,PARMS,RLL,0.922107755,4.609297014,0.409392958,-0.601197695,0.738093732,-1
270,MODEL1,PARMS,RLL,0.912645196,5.186099193,0.210518147,0.393092823,-0.69991279,-1
271,MODEL1,PARMS,RLL,0.917724352,4.083553587,0.530119029,-0.769690739,0.959288283,-1
272,MODEL1,PARMS,RLL,0.914138303,4.606592171,0.369500691,0.269259991,-0.848898396,-1
273,MODEL1,PARMS,RLL,0.934511334,4.801545643,0.360152757,-0.278205492,0.217619067,-1
274,MODEL1,PARMS,RLL,0.989287901,4.226241966,0.497398664,-0.713076047,0.93319417,-1
275,MODEL1,PARMS,RLL,0.928352238,4.123436562,0.52210452,-0.823998975,1.264721518,-1
276,MODEL1,PARMS,RLL,0.971309831,4.451044643,0.432978896,-0.514519697,0.538322193,-1
277,MODEL1,PARMS,RLL,0.937352086,5.408882994,0.127935926,1.288394644,-2.637758517,-1
