SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LMB
268,MODEL1,PARMS,LMB,1.303684386,7.95502067,0.569698154,-0.216641265,0.661292311,-1
269,MODEL1,PARMS,LMB,1.311202052,7.348309378,0.697246906,-0.053623305,-0.26564117,-1
270,MODEL1,PARMS,LMB,1.320230801,5.714636614,1.156510786,-2.687265799,4.86688859,-1
271,MODEL1,PARMS,LMB,1.360263214,7.905858999,0.613969547,-0.298602022,0.22329906,-1
272,MODEL1,PARMS,LMB,1.378537008,8.860448783,0.274283161,1.932408101,-3.637669462,-1
273,MODEL1,PARMS,LMB,1.395592337,6.647216248,0.8782883,-1.079314298,1.717367546,-1
274,MODEL1,PARMS,LMB,1.319396182,5.598255456,1.202066046,-2.335850424,3.773774382,-1
275,MODEL1,PARMS,LMB,1.300985964,7.503437562,0.621843167,0.158620001,-0.292192488,-1
276,MODEL1,PARMS,LMB,1.386161675,7.877076157,0.576969297,0.157823412,-0.448172267,-1
277,MODEL1,PARMS,LMB,1.408461079,7.398976699,0.679031223,0.002195525,-0.219894099,-1
278,MODEL1,PARMS,LMB,1.349525772,6.671565515,0.903929038,-1.854080604,3.388610709,-1
279,MODEL1,PARMS,LMB,1.403656187,6.321659771,0.993563964,-1.002759354,1.292814415,-1
280,MODEL1,PARMS,LMB,1.340483077,6.990626799,0.806655326,-0.636854839,1.049526126,-1
281,MODEL1,PARMS,LMB,1.347163142,6.511176096,0.956070542,-1.642973915,2.745892999,-1
282,MODEL1,PARMS,LMB,1.374537865,8.52095073,0.3783739,1.252800892,-2.28072822,-1
283,MODEL1,PARMS,LMB,1.362226096,8.749358288,0.307174621,1.545117176,-2.857383103,-1
284,MODEL1,PARMS,LMB,1.329173421,7.201939117,0.748144768,-0.188997105,0.001838095,-1
285,MODEL1,PARMS,LMB,1.34818318,6.443477103,0.968769548,-1.237245522,1.788048567,-1
286,MODEL1,PARMS,LMB,1.25241309,7.118462774,0.781764692,-0.88821848,1.381792592,-1
287,MODEL1,PARMS,LMB,1.365808664,8.68180489,0.300316724,1.175115782,-1.969964928,-1
288,MODEL1,PARMS,LMB,1.377436646,7.434989602,0.699590141,-0.329367844,0.590862202,-1
289,MODEL1,PARMS,LMB,1.495901107,7.967568638,0.491463146,1.045097884,-1.973812789,-1
290,MODEL1,PARMS,LMB,1.418779014,8.141663081,0.517416114,-0.075203892,0.196756423,-1
291,MODEL1,PARMS,LMB,1.378846596,6.547963825,0.944867596,-1.198705215,1.830642111,-1
292,MODEL1,PARMS,LMB,1.375515202,7.166720497,0.746266024,-0.522056066,0.894524334,-1
293,MODEL1,PARMS,LMB,1.296706003,6.892955386,0.829227545,-0.073809028,-0.61912387,-1
294,MODEL1,PARMS,LMB,1.335410218,8.826846769,0.281507026,1.172719829,-1.870666602,-1
295,MODEL1,PARMS,LMB,1.461078142,6.769071565,0.872298817,-0.477805239,0.370003645,-1
296,MODEL1,PARMS,LMB,1.365010033,7.61439499,0.669764444,-0.184906225,0.004079201,-1
297,MODEL1,PARMS,LMB,1.37877154,7.488916733,0.677032026,0.052396082,-0.363944011,-1
298,MODEL1,PARMS,LMB,1.396923262,7.767298391,0.592098374,0.34303621,-0.812237488,-1
299,MODEL1,PARMS,LMB,1.417513577,7.431918958,0.696624961,0.389858185,-1.244800804,-1
300,MODEL1,PARMS,LMB,1.482962701,6.889047982,0.8955031,-1.532439306,2.727517812,-1
301,MODEL1,PARMS,LMB,1.372770794,6.298012716,1.021225446,-2.200966782,4.021003591,-1
302,MODEL1,PARMS,LMB,1.33932174,6.44232979,0.968007509,-1.017980164,1.351740845,-1
303,MODEL1,PARMS,LMB,1.306815349,8.591480459,0.288989158,1.918204916,-3.517316481,-1
304,MODEL1,PARMS,LMB,1.347940655,6.960407285,0.81412186,-0.610506215,0.824247643,-1
305,MODEL1,PARMS,LMB,1.31787457,6.557344704,0.891639724,-0.186217562,-0.162257009,-1
306,MODEL1,PARMS,LMB,1.313069332,7.614084935,0.619889878,0.806053602,-1.948390366,-1
307,MODEL1,PARMS,LMB,1.421237989,7.701413872,0.592633409,0.402150404,-0.891046926,-1
308,MODEL1,PARMS,LMB,1.329467435,6.748126095,0.876834175,-1.123980104,1.655891263,-1
309,MODEL1,PARMS,LMB,1.325886952,5.213730081,1.307897854,-2.139023095,3.326474036,-1
310,MODEL1,PARMS,LMB,1.357269043,7.847907406,0.536131577,0.855681403,-1.689490888,-1
311,MODEL1,PARMS,LMB,1.377662573,8.026701655,0.527944573,0.206789411,-0.357486794,-1
312,MODEL1,PARMS,LMB,1.364200318,6.59041799,0.922667302,-1.084696225,1.537945772,-1
313,MODEL1,PARMS,LMB,1.389451317,7.470539286,0.61618091,0.933895145,-2.081699947,-1
314,MODEL1,PARMS,LMB,1.472030652,7.008470114,0.807337393,-0.712613407,1.248519592,-1
315,MODEL1,PARMS,LMB,1.383781654,7.521280001,0.684324305,0.236053376,-0.704520668,-1
316,MODEL1,PARMS,LMB,1.494468161,8.8233235,0.283369715,2.44627709,-5.008815742,-1
