SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LLB6
150,MODEL1,PARMS,LLB6,1.134612567,4.540148519,0.811749778,-1.177811702,1.738741995,-1
151,MODEL1,PARMS,LLB6,1.154915254,6.872164202,0.162971592,1.872559018,-3.65065182,-1
152,MODEL1,PARMS,LLB6,1.153503656,4.177392432,0.933825283,-1.604644806,2.44872077,-1
153,MODEL1,PARMS,LLB6,1.074249237,5.66577206,0.501083973,0.25587984,-0.768032893,-1
154,MODEL1,PARMS,LLB6,1.117145877,5.943053267,0.448336404,-0.078512237,-0.031656657,-1
155,MODEL1,PARMS,LLB6,1.121637956,4.989061349,0.691087589,-0.521582752,0.626332635,-1
156,MODEL1,PARMS,LLB6,1.068022612,4.995231977,0.713686714,-0.535228254,0.469802856,-1
157,MODEL1,PARMS,LLB6,1.047982574,4.505987389,0.861019449,-1.626935151,2.743092266,-1
158,MODEL1,PARMS,LLB6,1.110865215,4.561117366,0.796530943,-0.468187096,0.219347994,-1
159,MODEL1,PARMS,LLB6,1.036069931,5.641557465,0.532560565,-0.242958301,0.191259522,-1
160,MODEL1,PARMS,LLB6,1.062648687,5.096419627,0.685911769,-1.155608707,1.98578863,-1
161,MODEL1,PARMS,LLB6,1.153111357,4.02298377,1.008476207,-2.681266223,4.484575732,-1
162,MODEL1,PARMS,LLB6,1.188509919,4.472089834,0.856621519,-1.269355112,1.798264511,-1
163,MODEL1,PARMS,LLB6,1.117737669,4.897369743,0.730952307,-0.882759845,1.277304072,-1
164,MODEL1,PARMS,LLB6,1.117346318,4.89050506,0.718708857,-0.727719269,0.849553249,-1
165,MODEL1,PARMS,LLB6,1.081255849,3.688674904,1.082019475,-2.572561424,4.313125466,-1
166,MODEL1,PARMS,LLB6,1.09652388,4.536016068,0.863976944,-2.078514969,3.635797533,-1
167,MODEL1,PARMS,LLB6,1.123687064,4.981204305,0.724313156,-1.07189429,1.720482536,-1
168,MODEL1,PARMS,LLB6,1.194209246,4.25240957,0.902309494,-1.597430725,2.483178777,-1
169,MODEL1,PARMS,LLB6,1.03724051,3.853356839,0.994636299,-1.615725388,2.319655604,-1
170,MODEL1,PARMS,LLB6,1.096656719,7.018770413,0.119370753,1.309143898,-2.38390048,-1
171,MODEL1,PARMS,LLB6,1.179737205,5.708983685,0.520445436,-0.004797157,-0.321692487,-1
172,MODEL1,PARMS,LLB6,1.11085737,4.75347781,0.806233333,-1.773938713,3.005827183,-1
173,MODEL1,PARMS,LLB6,1.066829998,4.346866883,0.921226014,-1.901581313,3.109465239,-1
174,MODEL1,PARMS,LLB6,1.065689821,5.254843054,0.633601328,-0.643871034,0.978342592,-1
175,MODEL1,PARMS,LLB6,1.123422984,4.599996137,0.836347879,-1.325364511,1.93136038,-1
176,MODEL1,PARMS,LLB6,1.141067293,3.850249177,1.016000323,-1.532507818,2.006820192,-1
177,MODEL1,PARMS,LLB6,1.126072149,6.171429848,0.368681136,0.665397059,-1.401030472,-1
178,MODEL1,PARMS,LLB6,1.147347069,4.006397374,0.973313694,-1.72536314,2.69879066,-1
179,MODEL1,PARMS,LLB6,1.11823535,4.342382256,0.879437181,-1.348762882,1.958194313,-1
180,MODEL1,PARMS,LLB6,1.081154404,6.147509209,0.367895449,0.464780664,-0.80852442,-1
181,MODEL1,PARMS,LLB6,1.04146743,5.487561961,0.592764161,-0.719888078,1.160800914,-1
182,MODEL1,PARMS,LLB6,1.140605452,5.720432061,0.491579212,0.597524408,-1.637236098,-1
183,MODEL1,PARMS,LLB6,1.113609008,5.684654261,0.559843107,-0.494433757,0.639569773,-1
184,MODEL1,PARMS,LLB6,1.095699514,3.813653993,1.068208323,-2.951875602,5.224766746,-1
185,MODEL1,PARMS,LLB6,1.166848439,6.543714222,0.291248315,0.385605661,-0.635836891,-1
186,MODEL1,PARMS,LLB6,1.062280405,6.557005142,0.279734379,0.617868801,-1.121904872,-1
187,MODEL1,PARMS,LLB6,1.058091017,5.979361924,0.415437511,0.371984432,-0.832391823,-1
188,MODEL1,PARMS,LLB6,1.143106121,4.769516476,0.752769067,-0.586028593,0.577548217,-1
189,MODEL1,PARMS,LLB6,1.057956065,5.975440273,0.4228515,0.730442276,-1.638162508,-1
190,MODEL1,PARMS,LLB6,1.194396798,4.823837868,0.786470001,-1.640694919,2.829101457,-1
191,MODEL1,PARMS,LLB6,1.18997573,6.797954149,0.24244866,0.405867477,-0.74705482,-1
192,MODEL1,PARMS,LLB6,1.086500523,6.07103,0.382825967,0.938461414,-2.013378523,-1
193,MODEL1,PARMS,LLB6,1.12688586,5.163473897,0.663288746,-0.507605913,0.524887733,-1
194,MODEL1,PARMS,LLB6,1.113750772,4.318966774,0.976397348,-2.750417859,4.888010227,-1
195,MODEL1,PARMS,LLB6,1.008101906,5.572466748,0.530926507,0.211794024,-0.75240553,-1
196,MODEL1,PARMS,LLB6,1.081863274,4.021012657,0.956224402,-1.405514976,1.915753387,-1
197,MODEL1,PARMS,LLB6,1.13025487,5.056975934,0.798253358,-1.980266742,3.278805423,-1
198,MODEL1,PARMS,LLB6,1.105212489,6.437336227,0.330086154,0.498009825,-1.11661849,-1
199,MODEL1,PARMS,LLB6,1.089514921,5.029803447,0.691216685,-0.461147409,0.553813172,-1
200,MODEL1,PARMS,LLB6,1.099679074,5.412942802,0.514673305,0.474130828,-1.22747603,-1
201,MODEL1,PARMS,LLB6,1.125803015,2.557179114,1.445206017,-4.232340912,7.026384181,-1
202,MODEL1,PARMS,LLB6,1.063008915,4.46997951,0.884582407,-2.343608096,4.192140305,-1
203,MODEL1,PARMS,LLB6,1.05688427,6.286661887,0.359616984,0.693733856,-1.556155709,-1
204,MODEL1,PARMS,LLB6,1.101070805,5.936269794,0.436544097,0.581925438,-1.437253341,-1
205,MODEL1,PARMS,LLB6,1.112059819,5.301051781,0.667283691,-1.470348156,2.564702159,-1
206,MODEL1,PARMS,LLB6,1.125483057,5.126296618,0.682675389,-0.682775122,0.893878222,-1
207,MODEL1,PARMS,LLB6,1.112415478,5.60331477,0.569842024,-0.498673044,0.631558358,-1
208,MODEL1,PARMS,LLB6,1.15594543,4.476769998,0.81489315,-1.457778794,2.359602698,-1
209,MODEL1,PARMS,LLB6,1.109468504,5.85814425,0.467985823,-0.119919399,0.184976411,-1
210,MODEL1,PARMS,LLB6,1.10419187,5.90980277,0.4594744,0.021918196,-0.038483804,-1
211,MODEL1,PARMS,LLB6,1.067774526,6.247805269,0.374730619,0.007846392,0.057476207,-1
212,MODEL1,PARMS,LLB6,1.159108674,5.713599962,0.575023813,-0.898407067,1.393509904,-1
213,MODEL1,PARMS,LLB6,1.106316669,4.982475706,0.679112877,-0.792204228,1.241686745,-1
214,MODEL1,PARMS,LLB6,1.109395101,4.589307426,0.806005152,-1.249570424,1.9985546,-1
215,MODEL1,PARMS,LLB6,1.08409708,6.236193016,0.42838574,-0.260441989,0.225545026,-1
216,MODEL1,PARMS,LLB6,1.063769043,5.053276918,0.695225074,-0.874131798,1.274936392,-1
217,MODEL1,PARMS,LLB6,1.144572695,3.536036958,1.097057447,-2.468474696,3.905924782,-1
218,MODEL1,PARMS,LLB6,1.106730988,4.873504438,0.679137135,-0.260862439,0.097767437,-1
219,MODEL1,PARMS,LLB6,1.057916592,6.543689152,0.282602784,0.64697767,-1.173060934,-1
220,MODEL1,PARMS,LLB6,1.082085416,4.251673918,0.904416524,-1.701832826,2.675746345,-1
221,MODEL1,PARMS,LLB6,1.127957999,4.603984302,0.852662704,-1.130853748,1.49710552,-1
222,MODEL1,PARMS,LLB6,1.036443935,4.127648617,0.901761186,-0.901206032,0.965553064,-1
223,MODEL1,PARMS,LLB6,1.082569265,3.741580649,1.049949925,-1.846042425,2.641106754,-1
224,MODEL1,PARMS,LLB6,1.055601604,4.770699712,0.769703551,-0.907445288,1.284116,-1
225,MODEL1,PARMS,LLB6,1.076518629,5.652564835,0.524654351,-0.113916911,-0.081903834,-1
226,MODEL1,PARMS,LLB6,1.079776223,5.158759422,0.669067511,-0.548285895,0.633975467,-1
227,MODEL1,PARMS,LLB6,1.090710555,4.725982069,0.810785098,-1.315009739,1.94493376,-1
228,MODEL1,PARMS,LLB6,1.043449215,4.397523274,0.848297227,-0.911601249,1.137604903,-1
229,MODEL1,PARMS,LLB6,1.095159895,4.626221204,0.821713307,-1.154313686,1.670474519,-1
230,MODEL1,PARMS,LLB6,1.139261858,6.587122932,0.292020488,0.21340288,-0.300425928,-1
231,MODEL1,PARMS,LLB6,1.09394786,5.3067829,0.604559042,-0.503767839,0.572760293,-1
232,MODEL1,PARMS,LLB6,1.100948009,4.876107285,0.723209955,-0.644836298,0.833671068,-1
233,MODEL1,PARMS,LLB6,1.121831348,5.042426706,0.699689347,-1.074376111,1.551683077,-1
234,MODEL1,PARMS,LLB6,1.106900953,6.146969893,0.387816877,0.199242997,-0.448094387,-1
235,MODEL1,PARMS,LLB6,1.090603554,5.304607347,0.631498166,-0.724851776,1.14086129,-1
236,MODEL1,PARMS,LLB6,1.082971993,5.855659959,0.46470113,0.008599598,-0.210323398,-1
237,MODEL1,PARMS,LLB6,1.155064472,4.519839382,0.778728538,-0.797418454,1.027177007,-1
238,MODEL1,PARMS,LLB6,1.096011394,6.048108249,0.438855156,0.332150928,-0.81576985,-1
239,MODEL1,PARMS,LLB6,1.105865534,5.684475419,0.486687259,0.726335097,-1.902978859,-1
240,MODEL1,PARMS,LLB6,1.078310706,6.660950819,0.251627921,1.217977506,-2.458632345,-1
241,MODEL1,PARMS,LLB6,1.10619208,4.683607962,0.802860309,-1.430523956,2.344628138,-1
242,MODEL1,PARMS,LLB6,1.118945965,4.755111232,0.783503668,-0.879883976,1.249385067,-1
243,MODEL1,PARMS,LLB6,1.066543186,5.618516566,0.508026526,0.171137447,-0.483555401,-1
244,MODEL1,PARMS,LLB6,1.095118054,3.817023938,1.011554303,-1.5708974,2.259536534,-1
245,MODEL1,PARMS,LLB6,1.07883145,5.12372322,0.653945393,-0.306195843,0.130540439,-1
246,MODEL1,PARMS,LLB6,1.167518782,5.167405138,0.67687862,-0.670823553,0.719492203,-1
247,MODEL1,PARMS,LLB6,1.096403437,6.000012505,0.418377331,0.397984684,-0.747974122,-1
248,MODEL1,PARMS,LLB6,1.100942951,5.588273842,0.587967741,-1.085193571,1.980186002,-1
249,MODEL1,PARMS,LLB6,1.180005034,5.09346688,0.68353303,-0.695614223,0.952113473,-1
250,MODEL1,PARMS,LLB6,1.083342313,4.97050176,0.705668915,-1.055480111,1.678212448,-1
251,MODEL1,PARMS,LLB6,1.047940597,5.690043711,0.516755418,-0.293213695,0.527247416,-1
252,MODEL1,PARMS,LLB6,1.159364123,6.167103627,0.389479213,0.588651231,-1.342961325,-1
253,MODEL1,PARMS,LLB6,1.07287971,4.993087473,0.649103559,-0.225514295,0.122488597,-1
254,MODEL1,PARMS,LLB6,1.172270714,5.353312378,0.619055106,-0.717201718,0.982058893,-1
255,MODEL1,PARMS,LLB6,1.133887187,4.968138478,0.71018996,-0.929964366,1.421036995,-1
256,MODEL1,PARMS,LLB6,1.172712383,5.742411908,0.451147851,1.041581767,-2.477114149,-1
257,MODEL1,PARMS,LLB6,1.125288633,4.858166934,0.72752417,-0.696361007,0.916055388,-1
258,MODEL1,PARMS,LLB6,1.102195302,5.818685753,0.513086278,-0.120261941,-0.082588945,-1
