SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB1
1,MODEL1,PARMS,RB1,0.939511893,3.246578029,0.161690509,1.682762985,-3.530227994,-1
2,MODEL1,PARMS,RB1,1.067151788,3.115213475,0.22938738,0.64076169,-1.24920428,-1
3,MODEL1,PARMS,RB1,1.091233018,3.670548714,0.038572998,2.242893606,-4.371774013,-1
4,MODEL1,PARMS,RB1,0.915183912,2.656772036,0.319488616,0.681752139,-1.564717802,-1
5,MODEL1,PARMS,RB1,0.979037235,3.557909567,0.106287176,1.229558898,-2.360514237,-1
6,MODEL1,PARMS,RB1,0.944427787,2.045995954,0.531936766,-1.299263047,2.408771874,-1
7,MODEL1,PARMS,RB1,0.869352587,2.174003501,0.431751744,0.223898569,-0.584431448,-1
8,MODEL1,PARMS,RB1,0.852769598,2.839986021,0.298129223,0.228954544,-0.553796313,-1
9,MODEL1,PARMS,RB1,0.887455572,2.801731683,0.267626286,1.259496463,-2.713949973,-1
10,MODEL1,PARMS,RB1,0.860914918,2.101280262,0.521601537,-0.931795678,1.605495303,-1
11,MODEL1,PARMS,RB1,0.92331199,2.595228307,0.380206664,-0.296644114,0.368850832,-1
12,MODEL1,PARMS,RB1,0.884251472,3.002772795,0.23866921,0.856351586,-1.810214559,-1
13,MODEL1,PARMS,RB1,0.989584252,2.303632806,0.420820344,0.145865871,-0.561281746,-1
14,MODEL1,PARMS,RB1,0.966305968,3.083465363,0.185770876,1.338951039,-2.548263513,-1
15,MODEL1,PARMS,RB1,0.915171985,3.603379079,0.09663189,1.094453924,-1.984177436,-1
16,MODEL1,PARMS,RB1,0.953940295,2.972198255,0.241226271,0.711472946,-1.507701654,-1
17,MODEL1,PARMS,RB1,1.118871836,3.348263169,0.142685913,1.276241396,-2.404323271,-1
18,MODEL1,PARMS,RB1,0.890466123,2.395652976,0.417870014,-0.231596467,0.209086852,-1
19,MODEL1,PARMS,RB1,0.911104092,2.668009585,0.323434175,0.564044667,-1.30555101,-1
20,MODEL1,PARMS,RB1,0.967731116,2.481516686,0.355589517,0.660703302,-1.582813307,-1
21,MODEL1,PARMS,RB1,0.999972949,3.533915029,0.109206599,1.376231877,-2.649690547,-1
22,MODEL1,PARMS,RB1,0.9745423,2.721690924,0.322862195,0.781075334,-1.875719872,-1
23,MODEL1,PARMS,RB1,0.852553802,2.053691431,0.512401447,-0.617737776,0.870170734,-1
24,MODEL1,PARMS,RB1,0.889652012,2.977410361,0.233104069,0.957683271,-1.994976149,-1
25,MODEL1,PARMS,RB1,1.13115554,3.134474081,0.205811333,1.407490989,-3.054216892,-1
26,MODEL1,PARMS,RB1,0.93649875,2.571670195,0.399532964,-0.002507445,-0.285737487,-1
27,MODEL1,PARMS,RB1,0.898650098,2.569265984,0.336788098,0.402458227,-0.904254887,-1
