SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
811,MODEL1,PARMS,RB10,0.795823089,2.251568881,0.509877146,-0.191990667,-0.092405388,-1
812,MODEL1,PARMS,RB10,0.765466856,2.612019707,0.44251052,-0.503077866,0.654223129,-1
813,MODEL1,PARMS,RB10,0.815128078,2.723299383,0.408126825,-0.138452454,-0.169826302,-1
814,MODEL1,PARMS,RB10,0.848099342,2.579707097,0.417489969,-0.492342932,0.802756141,-1
815,MODEL1,PARMS,RB10,0.895671818,2.135959979,0.59451646,-1.216228007,1.843356272,-1
816,MODEL1,PARMS,RB10,0.74984631,2.326393364,0.542322011,-1.202018023,1.914232807,-1
817,MODEL1,PARMS,RB10,0.824358224,3.536208129,0.199284004,0.33646418,-0.736562503,-1
818,MODEL1,PARMS,RB10,0.853580477,2.471331135,0.493399052,-1.191768823,2.107572858,-1
819,MODEL1,PARMS,RB10,0.780342876,2.176491054,0.511300394,-0.436493071,0.466503971,-1
820,MODEL1,PARMS,RB10,0.84271214,2.669229593,0.455823888,-0.68376481,0.904672969,-1
821,MODEL1,PARMS,RB10,0.803744337,1.964172986,0.634646874,-1.508591475,2.52508672,-1
822,MODEL1,PARMS,RB10,0.846839298,2.460127556,0.470380314,-0.654794571,0.880507181,-1
823,MODEL1,PARMS,RB10,0.785500912,2.37549166,0.511242697,-0.764976334,1.029613084,-1
824,MODEL1,PARMS,RB10,0.783187291,2.775308623,0.420928572,-1.046049061,1.889846745,-1
825,MODEL1,PARMS,RB10,0.777148332,2.026799329,0.630258772,-1.787011154,3.079119454,-1
826,MODEL1,PARMS,RB10,0.836494197,3.180045195,0.293388727,-0.349424605,0.630451674,-1
827,MODEL1,PARMS,RB10,0.820239637,3.214289195,0.253464731,0.388030492,-0.933564524,-1
828,MODEL1,PARMS,RB10,0.808043428,3.372301708,0.23953501,0.183860678,-0.422667898,-1
829,MODEL1,PARMS,RB10,0.781951551,2.170676327,0.583510846,-1.759451295,3.242160158,-1
830,MODEL1,PARMS,RB10,0.878842273,2.349867543,0.503007962,-0.54814253,0.659892193,-1
831,MODEL1,PARMS,RB10,0.816935875,2.760632591,0.392315007,-0.206457217,0.132572174,-1
832,MODEL1,PARMS,RB10,0.74898982,1.719364899,0.705594049,-1.76615106,2.977685899,-1
833,MODEL1,PARMS,RB10,0.746680026,2.407336398,0.528032608,-1.108234137,1.798427673,-1
834,MODEL1,PARMS,RB10,0.822919848,2.119520612,0.568652454,-0.837969992,1.133605839,-1
835,MODEL1,PARMS,RB10,0.869204083,2.234742209,0.531373365,-0.737621974,0.95483104,-1
836,MODEL1,PARMS,RB10,0.851972562,3.595237427,0.173955163,0.375007094,-0.747968141,-1
837,MODEL1,PARMS,RB10,0.831164938,2.33901513,0.541547979,-1.169083647,1.812010045,-1
838,MODEL1,PARMS,RB10,0.780917256,3.135485741,0.309976084,0.145671537,-0.480084319,-1
839,MODEL1,PARMS,RB10,0.800235559,2.402966666,0.504907686,-0.715731543,0.903274792,-1
840,MODEL1,PARMS,RB10,0.813719005,2.615908698,0.444546231,-0.744213441,1.221805504,-1
841,MODEL1,PARMS,RB10,0.823145145,2.119911545,0.613604246,-1.97897568,3.61841563,-1
842,MODEL1,PARMS,RB10,0.817499862,2.557563765,0.434195268,-0.189487805,0.10866115,-1
843,MODEL1,PARMS,RB10,0.856121781,2.61476943,0.492706215,-1.26174848,2.218438575,-1
844,MODEL1,PARMS,RB10,0.810103274,2.285558392,0.540059139,-1.125570234,1.859940133,-1
845,MODEL1,PARMS,RB10,0.722293455,1.159343162,0.847643439,-2.315793466,3.802218179,-1
846,MODEL1,PARMS,RB10,0.770035933,1.917390879,0.631065228,-0.970333584,1.292759678,-1
