SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sRB1
523,MODEL1,PARMS,sRB1,0.66913164,1.725638069,0.355309842,-0.915746724,1.63521738,-1
524,MODEL1,PARMS,sRB1,0.632418785,2.123389361,0.204892599,0.460441838,-1.027526447,-1
525,MODEL1,PARMS,sRB1,0.680260102,2.09498574,0.214683461,0.358714195,-0.784683573,-1
526,MODEL1,PARMS,sRB1,0.630891512,2.353812215,0.158252214,0.354408523,-0.664220215,-1
527,MODEL1,PARMS,sRB1,0.720363684,2.048194062,0.25392243,0.175656167,-0.504203555,-1
528,MODEL1,PARMS,sRB1,0.668623249,2.012214538,0.274514125,-0.134743575,0.150841708,-1
529,MODEL1,PARMS,sRB1,0.682891578,2.149487392,0.228242339,-0.035018989,-0.107766414,-1
530,MODEL1,PARMS,sRB1,0.636400578,2.375507118,0.153699704,0.437115916,-0.806927395,-1
531,MODEL1,PARMS,sRB1,0.64322697,2.122132412,0.223636231,0.082764161,-0.229916079,-1
532,MODEL1,PARMS,sRB1,0.656926963,1.605604792,0.385807007,-0.530885082,0.739833177,-1
533,MODEL1,PARMS,sRB1,0.654068258,2.323193487,0.172984172,0.110251436,-0.212593495,-1
534,MODEL1,PARMS,sRB1,0.698953239,2.197176251,0.207871107,0.298018627,-0.660564457,-1
535,MODEL1,PARMS,sRB1,0.671887268,2.195966239,0.197998138,0.351926655,-0.766574661,-1
536,MODEL1,PARMS,sRB1,0.66808728,1.640214499,0.37401781,-0.502304335,0.664523514,-1
537,MODEL1,PARMS,sRB1,0.658985528,2.457556799,0.136703305,0.433750386,-0.825438298,-1
538,MODEL1,PARMS,sRB1,0.640938265,2.006345839,0.277231567,-0.177865381,0.235185294,-1
539,MODEL1,PARMS,sRB1,0.611349817,2.194726025,0.159063953,0.800866685,-1.586232445,-1
540,MODEL1,PARMS,sRB1,0.719214173,2.066630193,0.233366204,-0.04628892,-0.03050493,-1
541,MODEL1,PARMS,sRB1,0.651205066,1.89468965,0.312124146,-0.568681877,0.920089448,-1
542,MODEL1,PARMS,sRB1,0.709843799,2.10299387,0.222247008,0.350635257,-0.851071215,-1
543,MODEL1,PARMS,sRB1,0.703689255,2.158826755,0.205349746,0.286301842,-0.6891365,-1
544,MODEL1,PARMS,sRB1,0.629070631,2.056129214,0.256971759,-0.13829392,0.156445867,-1
545,MODEL1,PARMS,sRB1,0.695389638,2.014166635,0.249032755,0.242034791,-0.674867223,-1
546,MODEL1,PARMS,sRB1,0.667544217,2.78422421,0.030852903,0.795416287,-1.412385132,-1
547,MODEL1,PARMS,sRB1,0.666000061,1.855529096,0.298454391,-0.126523739,0.097444244,-1
548,MODEL1,PARMS,sRB1,0.654427571,2.571630968,0.101469454,0.33640391,-0.476792301,-1
549,MODEL1,PARMS,sRB1,0.691830117,2.092192032,0.212389299,0.323999509,-0.711638569,-1
550,MODEL1,PARMS,sRB1,0.652438381,2.255136807,0.171396049,0.651623983,-1.330504993,-1
551,MODEL1,PARMS,sRB1,0.684555523,2.151354449,0.227690066,0.040800275,-0.213362574,-1
552,MODEL1,PARMS,sRB1,0.653474839,2.358972868,0.148571099,0.230537408,-0.465334678,-1
553,MODEL1,PARMS,sRB1,0.705454913,1.976619942,0.301860049,-0.546517498,0.922227789,-1
554,MODEL1,PARMS,sRB1,0.664169224,1.932735393,0.283028375,-0.110551337,0.057186503,-1
555,MODEL1,PARMS,sRB1,0.684207937,1.34153961,0.458828922,-1.141755483,1.988584088,-1
556,MODEL1,PARMS,sRB1,0.674534723,2.811737125,0.031653795,1.215236832,-2.473484059,-1
557,MODEL1,PARMS,sRB1,0.654087878,2.174127346,0.180190419,0.459413573,-0.964592411,-1
558,MODEL1,PARMS,sRB1,0.703297855,2.39520505,0.178448431,-0.037495679,0.009463386,-1
559,MODEL1,PARMS,sRB1,0.680500444,2.088025272,0.240061036,-0.088605521,0.093582604,-1
560,MODEL1,PARMS,sRB1,0.664448673,3.171223697,-0.078689873,1.465769443,-2.646555711,-1
561,MODEL1,PARMS,sRB1,0.665042993,2.32825177,0.196877363,0.044728192,-0.151489224,-1
562,MODEL1,PARMS,sRB1,0.660556218,1.680635838,0.363901111,-0.543509586,0.788306315,-1
563,MODEL1,PARMS,sRB1,0.67204697,2.398519877,0.150616616,0.56699031,-1.262423828,-1
564,MODEL1,PARMS,sRB1,0.642150542,2.814035514,0.025537934,0.937596229,-1.713695147,-1
565,MODEL1,PARMS,sRB1,0.687020526,2.018632109,0.315896074,-0.893711244,1.61402436,-1
566,MODEL1,PARMS,sRB1,0.665808029,1.794412362,0.328802303,-0.405906659,0.654178471,-1
567,MODEL1,PARMS,sRB1,0.658416278,1.756894152,0.344751913,-0.743304225,1.297467679,-1
568,MODEL1,PARMS,sRB1,0.697700489,1.654366929,0.37442666,-0.479739274,0.614154834,-1
569,MODEL1,PARMS,sRB1,0.633478939,2.213312781,0.222475646,-0.207007083,0.396703326,-1
570,MODEL1,PARMS,sRB1,0.638915408,1.88599923,0.280258366,0.132626088,-0.498457033,-1
571,MODEL1,PARMS,sRB1,0.656216931,2.26185402,0.198350243,-0.045872186,0.016662389,-1
572,MODEL1,PARMS,sRB1,0.690958709,2.183332071,0.199046148,0.181119837,-0.398182016,-1
573,MODEL1,PARMS,sRB1,0.655297674,2.692925742,0.072630243,0.575208466,-0.998354109,-1
574,MODEL1,PARMS,sRB1,0.67962352,2.214437009,0.202620403,0.236710685,-0.474672829,-1
575,MODEL1,PARMS,sRB1,0.700308187,2.87674362,0.016890774,1.010493819,-1.969940356,-1
576,MODEL1,PARMS,sRB1,0.688820386,1.967819582,0.287129319,-0.393081893,0.62225807,-1
577,MODEL1,PARMS,sRB1,0.706586464,2.618809796,0.112952932,0.189717181,-0.217760683,-1
578,MODEL1,PARMS,sRB1,0.655629902,2.293645136,0.164033705,0.490225967,-1.019111043,-1
579,MODEL1,PARMS,sRB1,0.632610621,2.357914291,0.173696812,0.337215778,-0.778047733,-1
580,MODEL1,PARMS,sRB1,0.631757726,1.793202662,0.331197054,-0.546963023,0.784217254,-1
581,MODEL1,PARMS,sRB1,0.704112162,2.449004777,0.134865004,0.404981953,-0.738212254,-1
582,MODEL1,PARMS,sRB1,0.650224929,2.069356911,0.238351989,0.094287191,-0.245993215,-1
583,MODEL1,PARMS,sRB1,0.638157839,1.987901214,0.265224363,0.029065192,-0.281764449,-1
584,MODEL1,PARMS,sRB1,0.688556888,1.998039124,0.266703111,0.175540696,-0.585129816,-1
585,MODEL1,PARMS,sRB1,0.660124776,2.231888363,0.193170162,0.295253109,-0.723659266,-1
586,MODEL1,PARMS,sRB1,0.745593041,2.00069858,0.287209418,-0.245241795,0.172912269,-1
587,MODEL1,PARMS,sRB1,0.64650291,1.752330228,0.31974581,-0.228058357,0.252464569,-1
588,MODEL1,PARMS,sRB1,0.644909162,1.842699969,0.313331724,-0.373252339,0.602620782,-1
589,MODEL1,PARMS,sRB1,0.675710675,2.489508353,0.139709709,0.416112279,-0.833264654,-1
590,MODEL1,PARMS,sRB1,0.659148629,1.932254636,0.270314866,0.074201355,-0.345618861,-1
591,MODEL1,PARMS,sRB1,0.638909428,2.518451281,0.093746908,0.811942688,-1.573277489,-1
592,MODEL1,PARMS,sRB1,0.702193727,2.430340261,0.14946447,0.427337339,-0.958224597,-1
593,MODEL1,PARMS,sRB1,0.676337322,1.649097063,0.330625682,-0.029072264,-0.105057447,-1
594,MODEL1,PARMS,sRB1,0.767100043,2.270134052,0.200721978,0.160896299,-0.462215002,-1
595,MODEL1,PARMS,sRB1,0.719357864,1.653173731,0.348979577,-0.377643926,0.517168254,-1
596,MODEL1,PARMS,sRB1,0.632685371,2.558294458,0.066213951,1.388083812,-2.742426453,-1
597,MODEL1,PARMS,sRB1,0.668796151,3.106064813,-0.073693973,1.721962787,-3.26061968,-1
598,MODEL1,PARMS,sRB1,0.665994336,2.113793338,0.234548203,-0.023034818,-0.128445574,-1
599,MODEL1,PARMS,sRB1,0.613960656,2.367281221,0.137735802,0.717869979,-1.409192354,-1
600,MODEL1,PARMS,sRB1,0.679257586,3.045835981,-0.037259604,1.28014979,-2.313606407,-1
601,MODEL1,PARMS,sRB1,0.670172011,2.039091635,0.270417975,-0.2208127,0.302268561,-1
602,MODEL1,PARMS,sRB1,0.673690527,2.26467133,0.178075247,0.431298898,-1.021266113,-1
603,MODEL1,PARMS,sRB1,0.718890822,1.938770777,0.276453118,-0.04291811,0.003282941,-1
604,MODEL1,PARMS,sRB1,0.680991301,2.682786792,0.085441302,0.303067939,-0.531595337,-1
605,MODEL1,PARMS,sRB1,0.633004898,1.827410441,0.301119083,0.028818895,-0.341836784,-1
606,MODEL1,PARMS,sRB1,0.635384308,1.727320144,0.331375999,-0.377142644,0.590336224,-1
607,MODEL1,PARMS,sRB1,0.663132251,1.662313861,0.374399985,-0.97701338,1.752845639,-1
608,MODEL1,PARMS,sRB1,0.672206155,3.037215678,-0.010519045,0.84473211,-1.424475634,-1
609,MODEL1,PARMS,sRB1,0.679600821,2.147975846,0.213456063,0.226154073,-0.506380586,-1
610,MODEL1,PARMS,sRB1,0.673196357,2.006460754,0.240671445,0.146951068,-0.367633377,-1
611,MODEL1,PARMS,sRB1,0.658343265,2.631610473,0.087036166,0.581356525,-1.085579585,-1
612,MODEL1,PARMS,sRB1,0.653811246,2.338764017,0.15862007,0.330575547,-0.603757869,-1
613,MODEL1,PARMS,sRB1,0.653053333,2.436390039,0.146748436,0.153106958,-0.280155306,-1
614,MODEL1,PARMS,sRB1,0.663274393,1.918616335,0.270407226,0.018630178,-0.142620036,-1
615,MODEL1,PARMS,sRB1,0.655051613,1.611372213,0.358841116,-0.251168873,0.26157782,-1
616,MODEL1,PARMS,sRB1,0.645126495,3.031556706,-0.037460476,1.15342747,-2.065243016,-1
617,MODEL1,PARMS,sRB1,0.65210102,1.356264313,0.412461008,-0.222762939,0.046666642,-1
618,MODEL1,PARMS,sRB1,0.662324428,1.764294164,0.316936715,-0.293468039,0.432364041,-1
619,MODEL1,PARMS,sRB1,0.65419187,1.74746035,0.341979427,-0.505861695,0.734849342,-1
620,MODEL1,PARMS,sRB1,0.666166739,1.994895597,0.273003747,-0.374814682,0.701021664,-1
621,MODEL1,PARMS,sRB1,0.652617778,2.002807756,0.243845402,0.342558572,-0.865916335,-1
622,MODEL1,PARMS,sRB1,0.777894533,1.485836984,0.443489574,-0.849173839,1.25031527,-1
623,MODEL1,PARMS,sRB1,0.638785228,2.083066241,0.251842423,-0.082875592,0.058647964,-1
624,MODEL1,PARMS,sRB1,0.649795181,2.145787776,0.195546575,0.663914393,-1.436032073,-1
625,MODEL1,PARMS,sRB1,0.634048473,2.223801082,0.198473307,0.117042193,-0.312875156,-1
626,MODEL1,PARMS,sRB1,0.67760101,2.494613427,0.132466629,0.418542679,-0.856460761,-1
627,MODEL1,PARMS,sRB1,0.666933615,2.037999341,0.27477603,-0.252781709,0.303226259,-1
628,MODEL1,PARMS,sRB1,0.66882475,3.414163738,-0.140884796,1.503574548,-2.52764111,-1
629,MODEL1,PARMS,sRB1,0.685731683,1.596562161,0.365270125,-0.325995843,0.375392246,-1
630,MODEL1,PARMS,sRB1,0.627311209,1.874593303,0.293765664,0.0285691,-0.355251019,-1
631,MODEL1,PARMS,sRB1,0.67656019,2.039112601,0.228446502,0.436772169,-0.914051515,-1
632,MODEL1,PARMS,sRB1,0.67071373,2.579539051,0.112751716,0.472548953,-0.894390031,-1
633,MODEL1,PARMS,sRB1,0.709877729,2.246877082,0.174314693,0.409897001,-0.764856879,-1
634,MODEL1,PARMS,sRB1,0.643114302,2.21857624,0.214720487,-0.08531362,0.053220177,-1
635,MODEL1,PARMS,sRB1,0.670275808,2.099159958,0.25405771,-0.142838333,0.140055687,-1
