SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RUL
978,MODEL1,PARMS,RUL,1.31427303,5.001252396,0.552209887,-0.341779183,0.367024733,-1
979,MODEL1,PARMS,RUL,1.233580495,4.746094729,0.620064698,-0.844920232,1.296891134,-1
980,MODEL1,PARMS,RUL,1.264177601,5.851935964,0.262171077,0.965862605,-2.006836587,-1
981,MODEL1,PARMS,RUL,1.290179252,5.358712977,0.443681081,-0.063272668,-0.134554458,-1
982,MODEL1,PARMS,RUL,1.242665269,5.113781188,0.540801253,-0.346865978,0.35264589,-1
983,MODEL1,PARMS,RUL,1.284731385,3.289450974,1.033053375,-2.696094058,4.483638831,-1
984,MODEL1,PARMS,RUL,1.269404195,4.704013441,0.672384487,-1.75623715,3.092519617,-1
985,MODEL1,PARMS,RUL,1.245788055,4.734360889,0.611834851,-0.392237239,0.192734113,-1
986,MODEL1,PARMS,RUL,1.253461443,4.959142393,0.487953676,0.366110956,-1.046873808,-1
987,MODEL1,PARMS,RUL,1.333520556,5.391523822,0.434308613,-0.576924743,1.11715956,-1
988,MODEL1,PARMS,RUL,1.296296234,4.370158056,0.714194807,-0.311769104,-0.060685577,-1
989,MODEL1,PARMS,RUL,1.202475401,6.249163327,0.187647523,1.011956007,-1.894780554,-1
990,MODEL1,PARMS,RUL,1.124881064,5.28972228,0.427030646,0.134350226,-0.497521351,-1
991,MODEL1,PARMS,RUL,1.250612488,5.660860567,0.335723182,0.734210787,-1.547453157,-1
992,MODEL1,PARMS,RUL,1.238653315,4.77251795,0.573423124,-0.359968041,0.425844051,-1
993,MODEL1,PARMS,RUL,1.239936188,3.488077744,0.986130496,-2.443750878,4.163070128,-1
994,MODEL1,PARMS,RUL,1.320844524,4.38576893,0.682138407,-0.339838962,0.229548925,-1
995,MODEL1,PARMS,RUL,1.268895195,6.151102939,0.191232624,1.184020376,-2.172803799,-1
996,MODEL1,PARMS,RUL,1.285918655,4.690602743,0.57700099,-0.521728141,0.703645945,-1
997,MODEL1,PARMS,RUL,1.213542246,5.971515117,0.252382054,0.626410008,-1.1477311,-1
998,MODEL1,PARMS,RUL,1.256735817,5.326393919,0.454379358,-0.146313107,-0.006733086,-1
999,MODEL1,PARMS,RUL,1.26840081,6.053740417,0.173817808,1.901262782,-3.830808366,-1
1000,MODEL1,PARMS,RUL,1.236836734,5.789433829,0.343558639,-0.03035361,0.053361908,-1
