SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LB10
1,MODEL1,PARMS,LB10,0.948074583,3.878000196,0.138441158,0.973942121,-1.997778392,-1
2,MODEL1,PARMS,LB10,0.954551796,3.060108221,0.411902257,-1.037078491,1.899063681,-1
3,MODEL1,PARMS,LB10,0.887217626,2.52600269,0.503007203,-0.570369114,0.683793505,-1
4,MODEL1,PARMS,LB10,0.932899285,3.233511614,0.366853103,-0.992842165,1.761978236,-1
5,MODEL1,PARMS,LB10,0.973485737,3.247685334,0.34253947,-0.331594415,0.476825755,-1
6,MODEL1,PARMS,LB10,0.899324148,3.025674917,0.385748622,-0.633832724,1.223688128,-1
7,MODEL1,PARMS,LB10,0.824080533,3.287050838,0.314282994,-0.287515083,0.559921054,-1
8,MODEL1,PARMS,LB10,0.933609337,2.129698432,0.656122548,-1.372298082,2.073063232,-1
9,MODEL1,PARMS,LB10,0.832950268,3.576777722,0.259121232,-0.182132693,0.271951496,-1
10,MODEL1,PARMS,LB10,0.955669791,2.364781038,0.571576833,-1.610528342,2.962465584,-1
11,MODEL1,PARMS,LB10,0.862099942,3.292361195,0.300968203,0.137589792,-0.567366062,-1
12,MODEL1,PARMS,LB10,0.915700916,3.028936822,0.408526941,-0.831577979,1.40007462,-1
13,MODEL1,PARMS,LB10,0.888261224,2.543371292,0.53634347,-0.904006924,1.253506268,-1
14,MODEL1,PARMS,LB10,0.951677226,3.667301147,0.18088698,0.746198766,-1.485626382,-1
15,MODEL1,PARMS,LB10,0.89735822,3.671218912,0.236980517,-0.294880985,0.621823351,-1
16,MODEL1,PARMS,LB10,0.922042546,3.143320496,0.358630882,-0.255691835,0.366714296,-1
17,MODEL1,PARMS,LB10,0.936680228,2.750705601,0.473148278,-0.859054862,1.416221318,-1
18,MODEL1,PARMS,LB10,0.942167375,3.06943413,0.413542188,-0.912066433,1.596468652,-1
19,MODEL1,PARMS,LB10,0.865590984,3.59609388,0.263348198,-0.601693489,1.300321972,-1
20,MODEL1,PARMS,LB10,0.882766137,2.618393234,0.462821747,-0.286244895,0.187095622,-1
21,MODEL1,PARMS,LB10,0.981976219,2.941305216,0.393141213,-0.172352163,0.104289123,-1
22,MODEL1,PARMS,LB10,0.869425563,2.542256405,0.515174348,-0.624141984,0.854192747,-1
23,MODEL1,PARMS,LB10,0.91874306,2.362779243,0.560021997,-0.896089278,1.273116318,-1
24,MODEL1,PARMS,LB10,0.922255928,2.839135559,0.425827162,-0.474623012,0.674225707,-1
25,MODEL1,PARMS,LB10,0.92490179,3.267809801,0.33496182,-0.530070085,0.903915975,-1
26,MODEL1,PARMS,LB10,0.897986171,1.93498108,0.735033247,-2.357836675,4.140681852,-1
27,MODEL1,PARMS,LB10,0.925077537,2.403972644,0.539028025,-0.94871687,1.530515476,-1
28,MODEL1,PARMS,LB10,0.888163515,2.922703045,0.430941149,-0.554522726,0.615429152,-1
