SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
480,MODEL1,PARMS,RMB,1.60685598,6.474960544,1.449751921,-2.501641992,3.908221137,-1
481,MODEL1,PARMS,RMB,1.750011467,6.655117395,1.400121748,-2.558918519,4.277272965,-1
482,MODEL1,PARMS,RMB,1.611053476,8.994420579,0.749005673,0.269166334,-0.728914426,-1
483,MODEL1,PARMS,RMB,1.59557332,8.104157839,0.990620547,-0.29969141,0.19313056,-1
484,MODEL1,PARMS,RMB,1.583522202,7.57209891,1.055824921,0.104546445,-0.709276106,-1
485,MODEL1,PARMS,RMB,1.678711439,8.758995971,0.814889679,-0.452057159,0.804898841,-1
486,MODEL1,PARMS,RMB,1.577338815,6.966580956,1.322433519,-2.311595602,3.828762384,-1
487,MODEL1,PARMS,RMB,1.559615423,7.151257123,1.277105938,-2.024598451,3.119582055,-1
488,MODEL1,PARMS,RMB,1.611844269,8.613563247,0.834755704,0.269740819,-0.763344224,-1
489,MODEL1,PARMS,RMB,1.605549153,9.396532364,0.60110199,0.683968121,-0.990620512,-1
490,MODEL1,PARMS,RMB,1.610877688,8.93964472,0.811652013,-0.876182257,1.591871926,-1
491,MODEL1,PARMS,RMB,1.659065026,8.701697814,0.800450973,0.35378401,-1.00070358,-1
492,MODEL1,PARMS,RMB,1.664295086,8.359621627,0.856588824,0.163927536,-0.457903234,-1
493,MODEL1,PARMS,RMB,1.629088886,7.995431989,1.021211571,-1.037994036,1.775856198,-1
494,MODEL1,PARMS,RMB,1.520574167,6.614205659,1.405055097,-2.3244031,3.701915288,-1
495,MODEL1,PARMS,RMB,1.708343345,6.774067827,1.347997681,-1.901711677,2.753085138,-1
496,MODEL1,PARMS,RMB,1.652655982,8.742514829,0.856922272,-0.927188056,1.926909434,-1
497,MODEL1,PARMS,RMB,1.53825819,7.491720662,1.19244415,-2.4878838,4.412808671,-1
498,MODEL1,PARMS,RMB,1.532995359,7.88707372,1.066912363,-1.293774123,2.087809273,-1
499,MODEL1,PARMS,RMB,1.54274811,9.368927377,0.649171827,0.69056541,-1.384424545,-1
500,MODEL1,PARMS,RMB,1.634497583,7.725920287,1.10391281,-0.847063072,0.99070568,-1
501,MODEL1,PARMS,RMB,1.634723646,8.945185586,0.740653129,0.565475457,-1.204925275,-1
502,MODEL1,PARMS,RMB,1.58630142,10.01758347,0.413362381,1.940254704,-3.635770061,-1
503,MODEL1,PARMS,RMB,1.565696559,8.544742991,0.86616186,-0.331195761,0.320074598,-1
504,MODEL1,PARMS,RMB,1.577328989,7.743201804,1.156196635,-1.4123158,2.032945011,-1
505,MODEL1,PARMS,RMB,1.540911172,9.640704531,0.542316077,0.859028583,-1.612536079,-1
506,MODEL1,PARMS,RMB,1.653317485,9.027649482,0.746496616,-0.073057177,0.210172947,-1
507,MODEL1,PARMS,RMB,1.624438239,8.158115623,0.981495143,-0.498882899,0.614342575,-1
508,MODEL1,PARMS,RMB,1.590270754,9.089207583,0.758998827,-0.039498587,-0.119781314,-1
509,MODEL1,PARMS,RMB,1.50666951,8.332549013,0.930616833,-0.550992645,0.964680643,-1
510,MODEL1,PARMS,RMB,1.632120883,9.276666472,0.651500482,1.093496522,-2.119234227,-1
511,MODEL1,PARMS,RMB,1.600520438,8.157440493,0.924111437,-0.007522919,-0.355323861,-1
512,MODEL1,PARMS,RMB,1.508776095,9.180529074,0.709005222,0.355510119,-0.822927066,-1
513,MODEL1,PARMS,RMB,1.647892202,6.547479696,1.469864704,-3.536176704,6.068122256,-1
514,MODEL1,PARMS,RMB,1.627385579,9.100057187,0.729158907,0.070718413,-0.158146087,-1
515,MODEL1,PARMS,RMB,1.558519968,9.167150522,0.645938744,0.824794145,-1.586083422,-1
516,MODEL1,PARMS,RMB,1.585820124,8.723591097,0.802814295,0.604940989,-1.400618444,-1
517,MODEL1,PARMS,RMB,1.618023836,8.722057276,0.870703334,-1.17318689,2.240724255,-1
518,MODEL1,PARMS,RMB,1.656613537,7.658879585,1.123353054,-1.556685209,2.697871896,-1
519,MODEL1,PARMS,RMB,1.599763445,7.319070663,1.186831409,-1.827579801,3.164185258,-1
520,MODEL1,PARMS,RMB,1.586569521,8.738987678,0.818033948,-0.116043203,0.01764879,-1
521,MODEL1,PARMS,RMB,1.567110395,9.233517369,0.726125895,-0.055782555,0.077238226,-1
522,MODEL1,PARMS,RMB,1.521352311,8.731872514,0.809007014,0.008983864,-0.156816384,-1
523,MODEL1,PARMS,RMB,1.780056871,7.396133352,1.197522524,-2.497563228,4.443375169,-1
524,MODEL1,PARMS,RMB,1.553566577,6.171500224,1.466245192,-2.420060895,4.020045658,-1
525,MODEL1,PARMS,RMB,1.602159519,9.537857915,0.529292845,1.955148937,-3.857693193,-1
526,MODEL1,PARMS,RMB,1.594557011,8.616676739,0.841802521,0.292717884,-0.812247495,-1
527,MODEL1,PARMS,RMB,1.567431172,8.644905308,0.846297468,-0.480225537,0.723297927,-1
528,MODEL1,PARMS,RMB,1.680229673,9.067346736,0.692342029,0.749427158,-1.468438109,-1
529,MODEL1,PARMS,RMB,1.542651119,7.719996591,1.1094569,-1.56870765,2.603750803,-1
530,MODEL1,PARMS,RMB,1.502672051,7.875690271,1.093353684,-1.159798211,1.62028541,-1
531,MODEL1,PARMS,RMB,1.562281962,7.91626432,1.01882477,-0.869568832,1.26678663,-1
532,MODEL1,PARMS,RMB,1.579373064,7.140341021,1.272898727,-1.31427064,1.772485868,-1
533,MODEL1,PARMS,RMB,1.75476776,8.958479687,0.731759703,0.056800335,-0.277068896,-1
534,MODEL1,PARMS,RMB,1.583220796,7.945376859,1.038744188,-0.665147562,0.884883893,-1
535,MODEL1,PARMS,RMB,1.524876878,7.179062571,1.272133559,-2.562027885,4.501258372,-1
536,MODEL1,PARMS,RMB,1.538241658,9.030949478,0.742559976,-0.069852782,-0.1068648,-1
537,MODEL1,PARMS,RMB,1.539422101,9.420173024,0.595359474,1.445997378,-2.848521658,-1
538,MODEL1,PARMS,RMB,1.639865442,9.508400135,0.555043904,1.792741471,-3.508903866,-1
539,MODEL1,PARMS,RMB,1.567148456,11.02322361,0.155080408,3.156697418,-5.742091948,-1
540,MODEL1,PARMS,RMB,1.545292531,9.831942754,0.492727708,1.527068084,-2.876711876,-1
