SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB1
1,MODEL1,PARMS,sLB1,0.553464566,2.745936985,-0.024030091,1.058468581,-2.081290959,-1
2,MODEL1,PARMS,sLB1,0.58416986,2.163975403,0.174942542,-0.368564716,0.597771938,-1
3,MODEL1,PARMS,sLB1,0.53992581,2.131166242,0.157481016,0.242847023,-0.658253955,-1
4,MODEL1,PARMS,sLB1,0.563254781,2.275375607,0.141748437,-0.18640576,0.390319486,-1
5,MODEL1,PARMS,sLB1,0.551961554,1.872616377,0.224546432,0.013777576,-0.257888225,-1
6,MODEL1,PARMS,sLB1,0.590685302,2.274787501,0.106556074,0.408904641,-0.905726688,-1
7,MODEL1,PARMS,sLB1,0.542913281,2.043520823,0.173830665,0.207751106,-0.445877334,-1
8,MODEL1,PARMS,sLB1,0.568759899,1.986278294,0.210271626,-0.155717255,0.16404942,-1
9,MODEL1,PARMS,sLB1,0.539262829,1.908024539,0.210746667,-0.077865604,0.022547042,-1
10,MODEL1,PARMS,sLB1,0.568811491,1.818391333,0.269869789,-0.724405055,1.272934186,-1
11,MODEL1,PARMS,sLB1,0.579779925,1.958405653,0.223550148,-0.338376933,0.392586357,-1
12,MODEL1,PARMS,sLB1,0.565625167,2.100791154,0.166201302,-0.025532396,-0.057954411,-1
13,MODEL1,PARMS,sLB1,0.54266208,1.961804817,0.201759633,-0.068826065,-0.010118055,-1
14,MODEL1,PARMS,sLB1,0.550725073,2.339409913,0.09576505,0.199522897,-0.335698682,-1
15,MODEL1,PARMS,sLB1,0.599301919,2.406424322,0.051881011,0.823599027,-1.645696236,-1
16,MODEL1,PARMS,sLB1,0.573039903,1.837117164,0.226590486,-0.077245609,0.007268504,-1
17,MODEL1,PARMS,sLB1,0.511012883,1.978229536,0.212627414,-0.410002085,0.717244288,-1
18,MODEL1,PARMS,sLB1,0.556521918,1.861916722,0.234474484,-0.380908701,0.654475256,-1
19,MODEL1,PARMS,sLB1,0.561630879,2.37865042,0.075039137,0.433684883,-0.80171121,-1
20,MODEL1,PARMS,sLB1,0.554578118,2.360534612,0.075654116,0.53632566,-1.043315791,-1
21,MODEL1,PARMS,sLB1,0.601494535,1.966247835,0.208081688,-0.210641114,0.26165857,-1
22,MODEL1,PARMS,sLB1,0.553342232,1.373564076,0.379466971,-0.89133154,1.541414978,-1
23,MODEL1,PARMS,sLB1,0.57491715,2.054280858,0.172289551,0.108768936,-0.350284331,-1
24,MODEL1,PARMS,sLB1,0.584765764,1.809733155,0.251741471,-0.368304042,0.550267353,-1
25,MODEL1,PARMS,sLB1,0.553930159,1.864921672,0.226608196,-0.208092522,0.215626915,-1
26,MODEL1,PARMS,sLB1,0.636193514,1.956642007,0.239647949,-0.519876122,0.907085057,-1
27,MODEL1,PARMS,sLB1,0.556326772,1.705189697,0.289417875,-0.714681599,1.250415442,-1
28,MODEL1,PARMS,sLB1,0.539704434,2.432515781,0.065802356,0.475980951,-0.926768917,-1
29,MODEL1,PARMS,sLB1,0.541700929,2.160082778,0.146342405,-0.059477165,0.130152877,-1
30,MODEL1,PARMS,sLB1,0.572052442,2.055039394,0.177607097,-0.247328248,0.43734933,-1
31,MODEL1,PARMS,sLB1,0.5824543,2.096247428,0.157590815,0.091709911,-0.178800548,-1
32,MODEL1,PARMS,sLB1,0.547136683,2.156157701,0.141158534,0.22191018,-0.492388973,-1
33,MODEL1,PARMS,sLB1,0.576902885,2.280185806,0.119429744,0.268514432,-0.612523421,-1
34,MODEL1,PARMS,sLB1,0.569542378,2.240772625,0.133385769,-0.18059157,0.413405745,-1
35,MODEL1,PARMS,sLB1,0.583476735,2.240522071,0.107896081,0.28274343,-0.588341911,-1
36,MODEL1,PARMS,sLB1,0.548480336,2.160621673,0.149893629,-0.056263079,0.085035401,-1
37,MODEL1,PARMS,sLB1,0.57420975,2.675916642,0.002913362,0.739419061,-1.37005623,-1
38,MODEL1,PARMS,sLB1,0.615447737,2.100526744,0.176672263,-0.206703512,0.397527171,-1
39,MODEL1,PARMS,sLB1,0.550900554,2.846092332,-0.0591584,1.023728449,-1.797762689,-1
40,MODEL1,PARMS,sLB1,0.550118581,1.523250492,0.342574274,-1.039326164,1.782694895,-1
41,MODEL1,PARMS,sLB1,0.540135856,1.922396706,0.210630992,-0.096221882,0.032823718,-1
42,MODEL1,PARMS,sLB1,0.579791192,1.830999037,0.218551196,0.281985872,-0.770651214,-1
43,MODEL1,PARMS,sLB1,0.566365693,2.374986685,0.090291504,0.284048741,-0.481779905,-1
44,MODEL1,PARMS,sLB1,0.564859894,2.090705974,0.156238367,0.125179948,-0.303645597,-1
45,MODEL1,PARMS,sLB1,0.600331667,2.001394351,0.190596072,0.023548172,-0.135056011,-1
46,MODEL1,PARMS,sLB1,0.548154195,1.947709952,0.216189761,-0.428619344,0.757533963,-1
47,MODEL1,PARMS,sLB1,0.552413796,2.252469068,0.120343046,0.118575433,-0.26320791,-1
