SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,BronInt
526,MODEL1,PARMS,BronInt,1.282036116,6.146536029,0.589673178,0.197145345,-0.50381344,-1
527,MODEL1,PARMS,BronInt,1.237518509,6.095832674,0.615279683,-0.578902189,0.897039746,-1
528,MODEL1,PARMS,BronInt,1.336511034,6.199852451,0.54490851,0.408867167,-0.946330967,-1
529,MODEL1,PARMS,BronInt,1.315981256,5.640631728,0.719778465,-0.563226284,0.720678226,-1
530,MODEL1,PARMS,BronInt,1.358747834,4.605405453,1.075506778,-2.050255555,2.95427024,-1
531,MODEL1,PARMS,BronInt,1.259800658,6.85263739,0.395820633,0.470681034,-0.936882141,-1
532,MODEL1,PARMS,BronInt,1.268948675,5.043828415,0.888173392,-0.761307277,0.660691163,-1
533,MODEL1,PARMS,BronInt,1.383973741,6.206728761,0.551852269,-0.038337066,-0.197757364,-1
534,MODEL1,PARMS,BronInt,1.353092699,5.966742635,0.628555113,0.157954143,-0.543132146,-1
535,MODEL1,PARMS,BronInt,1.320871477,6.139898536,0.618171777,-0.226582111,0.054137112,-1
536,MODEL1,PARMS,BronInt,1.357825392,6.850284416,0.354139298,0.999213104,-1.949636588,-1
537,MODEL1,PARMS,BronInt,1.275871156,6.811332039,0.436497339,0.41839642,-0.96332061,-1
538,MODEL1,PARMS,BronInt,1.381131096,6.578048696,0.442383313,1.002712519,-2.176777929,-1
539,MODEL1,PARMS,BronInt,1.291030743,7.811162287,0.137852235,1.421676348,-2.555103755,-1
540,MODEL1,PARMS,BronInt,1.340340215,6.863562397,0.420868242,0.271064306,-0.56936005,-1
541,MODEL1,PARMS,BronInt,1.317284314,6.028722617,0.653502508,-0.391859001,0.370599931,-1
542,MODEL1,PARMS,BronInt,1.314291109,5.899614898,0.658858754,-0.10850044,-0.245345333,-1
543,MODEL1,PARMS,BronInt,1.292461303,6.225672391,0.517809185,0.697984973,-1.662075676,-1
544,MODEL1,PARMS,BronInt,1.306796712,6.486372416,0.500882112,0.60397837,-1.469814503,-1
545,MODEL1,PARMS,BronInt,1.268898358,6.198076492,0.566908362,0.341206598,-1.022338089,-1
546,MODEL1,PARMS,BronInt,1.245800539,6.51628543,0.467045445,0.51218442,-1.246643691,-1
547,MODEL1,PARMS,BronInt,1.303458326,5.703565926,0.7161153,-0.847409221,1.384599101,-1
548,MODEL1,PARMS,BronInt,1.244256502,7.061653691,0.329814658,0.922666321,-1.719506841,-1
549,MODEL1,PARMS,BronInt,1.251363225,5.662868874,0.742534212,-0.909770682,1.51516413,-1
550,MODEL1,PARMS,BronInt,1.229613243,7.664988483,0.107769373,2.157332404,-3.821251348,-1
551,MODEL1,PARMS,BronInt,1.277400507,6.199598389,0.570154616,-0.026342653,-0.121444235,-1
552,MODEL1,PARMS,BronInt,1.321792018,4.767764287,0.952549969,-1.08591397,1.177118195,-1
553,MODEL1,PARMS,BronInt,1.300669421,6.213005173,0.520251709,1.181081124,-2.740406348,-1
554,MODEL1,PARMS,BronInt,1.378996688,6.083575566,0.600753202,0.001122609,-0.198324411,-1
555,MODEL1,PARMS,BronInt,1.234892235,5.825617195,0.659100786,-0.174821833,0.03691385,-1
556,MODEL1,PARMS,BronInt,1.369024552,7.866057923,0.101324702,2.41006014,-4.893541418,-1
557,MODEL1,PARMS,BronInt,1.280314439,6.732139186,0.398149033,0.487728973,-1.006907206,-1
558,MODEL1,PARMS,BronInt,1.326300363,7.390948813,0.214310192,2.008561645,-3.860527539,-1
559,MODEL1,PARMS,BronInt,1.292689938,6.657574857,0.457977506,0.407004655,-1.094453733,-1
560,MODEL1,PARMS,BronInt,1.341374359,6.179898651,0.542208458,0.730534779,-1.607107794,-1
561,MODEL1,PARMS,BronInt,1.336904965,7.00147669,0.349778495,0.834820091,-1.764018766,-1
562,MODEL1,PARMS,BronInt,1.332065749,6.751181738,0.407947688,0.576399026,-1.068352083,-1
563,MODEL1,PARMS,BronInt,1.31743436,6.404253344,0.543107778,-0.197073201,0.275031664,-1
564,MODEL1,PARMS,BronInt,1.250528208,5.206206492,0.826315187,-1.065251654,1.622003928,-1
565,MODEL1,PARMS,BronInt,1.281101385,6.600487347,0.480607064,0.333579346,-0.899687931,-1
566,MODEL1,PARMS,BronInt,1.200602212,5.863327199,0.695442327,-0.937403555,1.572086887,-1
567,MODEL1,PARMS,BronInt,1.272963909,5.630108665,0.724419391,-0.963579381,1.588906552,-1
568,MODEL1,PARMS,BronInt,1.298416495,6.018932662,0.655080185,-0.52099182,0.582105925,-1
569,MODEL1,PARMS,BronInt,1.265662683,7.538364506,0.198021428,1.763806381,-3.347467608,-1
570,MODEL1,PARMS,BronInt,1.263468464,6.641035173,0.423997318,0.772204645,-1.492735318,-1
571,MODEL1,PARMS,BronInt,1.239585584,6.837373351,0.375549867,1.393326707,-2.866753983,-1
572,MODEL1,PARMS,BronInt,1.289380738,6.362944867,0.524682037,0.207374015,-0.631681333,-1
573,MODEL1,PARMS,BronInt,1.349503616,7.054304306,0.315145134,1.287562461,-2.3363019,-1
574,MODEL1,PARMS,BronInt,1.350077756,7.468786097,0.23504989,1.391872242,-2.501002052,-1
575,MODEL1,PARMS,BronInt,1.352733048,7.124873382,0.321879447,1.442657149,-3.015568889,-1
576,MODEL1,PARMS,BronInt,1.265561113,6.247773753,0.588224589,-0.345527316,0.273150049,-1
577,MODEL1,PARMS,BronInt,1.269210982,6.808592238,0.398632548,0.598438672,-1.156159959,-1
578,MODEL1,PARMS,BronInt,1.329475163,6.24894422,0.514799998,0.948254246,-2.117130764,-1
579,MODEL1,PARMS,BronInt,1.341547578,6.320859323,0.539017677,0.86742215,-2.099094552,-1
580,MODEL1,PARMS,BronInt,1.336486108,6.758704132,0.429623006,0.70680177,-1.544522698,-1
581,MODEL1,PARMS,BronInt,1.332385328,5.359833774,0.786226705,-0.855328984,1.166292718,-1
582,MODEL1,PARMS,BronInt,1.342861239,5.908136982,0.606506092,0.614185074,-1.522010904,-1
583,MODEL1,PARMS,BronInt,1.459727331,6.900048996,0.389481234,0.500189414,-1.006690308,-1
584,MODEL1,PARMS,BronInt,1.299756226,8.685533942,-0.146647668,3.134287049,-5.751983041,-1
585,MODEL1,PARMS,BronInt,1.35763137,5.404992545,0.793582977,-0.694588417,0.649416523,-1
586,MODEL1,PARMS,BronInt,1.251688899,6.737127115,0.403050169,0.671584167,-1.430976542,-1
587,MODEL1,PARMS,BronInt,1.311904522,7.463340413,0.25020922,1.247302748,-2.37019769,-1
588,MODEL1,PARMS,BronInt,1.329514829,5.230601869,0.87166874,-1.109859343,1.609386012,-1
589,MODEL1,PARMS,BronInt,1.381050736,7.369023911,0.251743672,1.414003705,-2.571015162,-1
590,MODEL1,PARMS,BronInt,1.3366782,4.490230552,1.011575525,-1.42014843,2.167415086,-1
591,MODEL1,PARMS,BronInt,1.296911688,7.910675946,0.053635193,2.441794851,-4.539981047,-1
592,MODEL1,PARMS,BronInt,1.190263566,6.943406916,0.343070726,1.326006339,-2.689938833,-1
593,MODEL1,PARMS,BronInt,1.36521271,6.621206118,0.457191057,1.160655343,-2.556109293,-1
594,MODEL1,PARMS,BronInt,1.364814132,6.521010641,0.508429105,-0.220999641,0.460762534,-1
595,MODEL1,PARMS,BronInt,1.30814931,5.362823768,0.824656157,-1.660568836,3.044775939,-1
596,MODEL1,PARMS,BronInt,1.25332427,6.16799456,0.528017777,1.090706797,-2.460283036,-1
597,MODEL1,PARMS,BronInt,1.232176571,6.024283131,0.64347725,0.032143016,-0.588171023,-1
598,MODEL1,PARMS,BronInt,1.294577411,4.657316424,1.016190728,-2.181067538,3.654399032,-1
599,MODEL1,PARMS,BronInt,1.371714969,7.562194278,0.170084244,1.708402805,-3.188545374,-1
600,MODEL1,PARMS,BronInt,1.199780881,6.9682208,0.334842035,0.79780669,-1.352023253,-1
601,MODEL1,PARMS,BronInt,1.312543304,6.024286084,0.656948718,-0.988235578,1.829455463,-1
602,MODEL1,PARMS,BronInt,1.18662957,6.678784508,0.421169218,0.796887452,-1.846088058,-1
603,MODEL1,PARMS,BronInt,1.338999602,5.058633652,0.895186327,-1.247997658,1.794938548,-1
604,MODEL1,PARMS,BronInt,1.358462915,5.869519022,0.710813171,-1.144466502,1.952097599,-1
605,MODEL1,PARMS,BronInt,1.312433623,7.107691719,0.320436657,1.171594217,-2.288932665,-1
606,MODEL1,PARMS,BronInt,1.343724786,4.810489444,0.97649127,-1.249343538,1.714178742,-1
607,MODEL1,PARMS,BronInt,1.344889089,6.882506977,0.384833008,0.57065189,-1.078220524,-1
608,MODEL1,PARMS,BronInt,1.320906178,5.728963713,0.740272246,-0.950166138,1.352661328,-1
609,MODEL1,PARMS,BronInt,1.223161541,5.961389142,0.623353781,-0.15638082,-0.010721683,-1
610,MODEL1,PARMS,BronInt,1.332504677,6.198188116,0.560404205,0.312854976,-0.866881111,-1
611,MODEL1,PARMS,BronInt,1.317943702,6.894818171,0.38222503,0.646091746,-1.417290362,-1
612,MODEL1,PARMS,BronInt,1.283820835,5.650575977,0.692228308,-0.036802508,-0.382623731,-1
613,MODEL1,PARMS,BronInt,1.238649534,7.141220388,0.306075591,0.541772065,-1.021520617,-1
614,MODEL1,PARMS,BronInt,1.368339245,5.661323946,0.719591811,-0.201534266,-0.093871418,-1
615,MODEL1,PARMS,BronInt,1.352995283,4.61612013,0.982628885,-1.293857794,1.802178844,-1
616,MODEL1,PARMS,BronInt,1.27590537,6.076591175,0.636687053,-0.801752216,1.363436157,-1
617,MODEL1,PARMS,BronInt,1.27684451,6.443971457,0.515199863,0.224071634,-0.702583417,-1
618,MODEL1,PARMS,BronInt,1.28287047,5.735337532,0.653834486,-0.600621369,1.108204733,-1
619,MODEL1,PARMS,BronInt,1.370008969,6.662943422,0.469724242,0.987086591,-2.303819398,-1
620,MODEL1,PARMS,BronInt,1.252304615,4.903363732,0.929271264,-1.214771106,1.6560979,-1
621,MODEL1,PARMS,BronInt,1.381608914,7.280683559,0.224798507,2.602612456,-5.079252004,-1
622,MODEL1,PARMS,BronInt,1.345709602,5.853386556,0.747677424,-1.5581658,2.678884996,-1
623,MODEL1,PARMS,BronInt,1.326055251,6.871505294,0.384714571,1.544061407,-3.265247256,-1
624,MODEL1,PARMS,BronInt,1.288844403,6.47915012,0.500196786,0.749745334,-1.882042021,-1
625,MODEL1,PARMS,BronInt,1.278513046,6.452028777,0.462714599,1.442177616,-3.130873059,-1
626,MODEL1,PARMS,BronInt,1.329977003,7.569007173,0.160157114,2.356342557,-4.555064381,-1
627,MODEL1,PARMS,BronInt,1.431390321,4.472666444,1.10135628,-2.533459875,4.221794674,-1
628,MODEL1,PARMS,BronInt,1.293006168,6.166519812,0.551051738,0.12481316,-0.436768599,-1
629,MODEL1,PARMS,BronInt,1.333697888,3.693081333,1.222011876,-1.968966377,2.846472483,-1
630,MODEL1,PARMS,BronInt,1.263713965,6.502643841,0.530707483,-0.41261426,0.857742738,-1
631,MODEL1,PARMS,BronInt,1.290992797,4.915775914,0.981501229,-2.00027995,3.211151144,-1
632,MODEL1,PARMS,BronInt,1.266294758,5.933658185,0.670774019,-0.650632281,1.033454326,-1
633,MODEL1,PARMS,BronInt,1.307632919,6.366483399,0.521292506,0.267782924,-0.7193262,-1
634,MODEL1,PARMS,BronInt,1.284781682,6.590264582,0.442332308,0.987030535,-2.248943727,-1
635,MODEL1,PARMS,BronInt,1.252443825,6.199303578,0.625670054,-0.490735231,0.70953891,-1
636,MODEL1,PARMS,BronInt,1.331901981,7.545404209,0.192984153,1.04925639,-1.745755378,-1
637,MODEL1,PARMS,BronInt,1.338887301,6.298938538,0.573114823,0.005726791,-0.411157536,-1
